id,nome_completo,cpf,identidade,sexo,data_nascimento,idade,email,telefone_principal,telefone_secundario,pais,estado,cidade,cep,endereco,numero,complemento,bairro,data_cadastro,status,tipo_cliente,ultima_compra,valor_total_compras,categoria_favorita,newsletter
91,Julie Jarrell,138.820.194-10,75.077.816-1,F,02/07/1968,57,julie.jarrell@bol.com.br,(41) 90646-4226,7955340246,Brasil,PE,Olinda,05037-816,Via de Santos,8515,Casa 2,Santa Rita De Cássia,11/01/2018,Inativo,Novo,11/05/2024,48819.72,Casa,Não
92,Deborah Walken,405.133.782-00,03.459.978-5,F,04/05/2002,23,deborah.walken@gmail.com,(71) 96504-5067,(31) 99187-0938,Brasil,AM,Parintins,64733206,Morro da Cunha,9982,Sala 303,Nova Cintra,09/09/2024,Ativo,Novo,26/11/2024,354.53,Livros,Não
93,Mary Frediani,903.304.282-70,37.208.468-7,F,15/10/2004,20,mary.frediani@bol.com.br,(71) 92169-4609,(91) 91718-9524,Brasil,MS,Dourados,00831-928,Estação Rodrigo Brito,5341,Casa 2,Jardim São José,19/04/2024,Pendente,Regular,,43502.49,Casa,Não
94,Susan Donahue,837.414.435-10,02.389.584-3,F,14/10/1963,61,susan.donahue@outlook.com,(51) 98910-3355,(71) 98653-6430,Brasil,GO,Aparecida de Goiânia,55840-073,Loteamento de Nascimento,6981,,Sport Club,16/08/2021,Inativo,Regular,01/03/2024,45705.09,Livros,Não
95,Frederick Keatts,574.355.538-90,87.809.527-5,M,11/12/2002,22,frederick.keatts@hotmail.com,(51) 94873-3118,(778)720-7558x444,Brasil,AC,Sena Madureira,21755651,Residencial Silveira,6609,Apto 101,Vera Cruz,05/12/2024,Pendente,VIP,14/04/2024,5548.38,Eletrônicos,Sim
96,Jeff Smith,905.204.328-00,35.945.763-6,M,23/01/1997,28,jeff.smith@gmail.com,(91) 97091-9550,(41) 90929-2393,Brasil,SC,Florianópolis,19490732,Trecho Barros,1876,Casa 2,Vila Barragem Santa Lúcia,03/08/2023,Ativo,VIP,04/11/2024,47090.35,Beleza,Sim
97,Kathy Griggs,124.892.474-60,72.312.225-6,F,05/06/1948,77,kathy.griggs@hotmail.com,(81) 91711-8225,(11) 96563-3382,Brasil,MA,São Luís,08318814,Residencial de Sousa,9286,,Alto Dos Pinheiros,29/04/2018,Inativo,Regular,19/04/2025,42324.43,Eletrônicos,Não
98,Trish Riddle,954.730.252-30,17.507.977-4,F,19/10/1950,74,trish.riddle@hotmail.com,(51) 93388-4765,(61) 96609-5004,Brasil,RN,Mossoró,97763490,Praça de da Rosa,4860,Sala 303,Vila Coqueiral,27/04/2016,Inativo,VIP,04/10/2024,23511.7,Eletrônicos,Sim
99,Ruth Wood,647.780.562-60,41.152.989-1,F,20/04/1971,54,ruth.wood@yahoo.com.br,(61) 96010-7611,(91) 92880-3821,Brasil,AL,Maceió,46165-131,Sítio Jesus,9705,,Mirtes,17/04/2022,Pendente,Novo,01/01/2024,49017.49,Livros,Não
100,Fredrick Hardy,055.901.621-20,07.001.637-5,M,02/12/1972,52,fredrick.hardy@bol.com.br,(21) 96643-0326,(11) 94782-6768,Brasil,PR,Maringá,39881-064,Lago de Jesus,9321,Casa 2,Vila Santa Monica 1ª Seção,27/07/2007,Inativo,Regular,02/12/2024,2114.21,Roupas,Não
101,Deborah Lydon,395.192.608-20,63.952.837-3,F,21/09/1953,72,deborah.lydon@bol.com.br,(61) 93938-8324,(71) 92610-1571,Brasil,CE,Juazeiro do Norte,45094-538,Loteamento Pinto,3303,Apto 101,Vila Sumaré,21/10/1987,Pendente,Novo,02/09/2025,31185.19,Casa,Não
102,Ann Odum,281.733.745-00,03.525.160-3,F,17/07/1972,53,ann.odum@bol.com.br,(71) 93645-8745,625-364-5547x8576,Brasil,AP,Santana,53582719,Loteamento Arthur Miguel Cirino,320,Apto 101,Vila Madre Gertrudes 2ª Seção,17/01/2008,Ativo,Regular,15/03/2025,36533.79,Roupas,Sim
103,Carmen Davis,199.390.697-50,88.089.840-5,F,03/09/1952,73,carmen.davis@hotmail.com,(31) 99954-2742,(61) 98143-2878,Brasil,AC,Rio Branco,24925888,Núcleo Felipe Marques,5943,Bloco B,Minas Brasil,15/01/1992,Ativo,Premium,03/04/2025,41253.3,Beleza,Não
104,Hilda Tullis,747.034.608-20,19.570.720-3,F,31/07/1977,48,hilda.tullis@outlook.com,(71) 90080-3951,(71) 98633-6588,Brasil,RJ,São Gonçalo,33898418,Colônia de Guerra,6138,,Dom Silverio,30/05/2014,Pendente,Novo,,12428.27,Eletrônicos,Não
105,Amy Piekarski,510.021.797-90,20.656.797-8,F,26/05/1973,52,amy.piekarski@outlook.com,(61) 94579-6692,(11) 92062-1066,Brasil,RS,Caxias do Sul,07453-496,Viaduto Enrico Rodrigues,1225,,Jardim Montanhês,27/07/2023,Pendente,Premium,06/01/2024,8135.18,Livros,Sim
106,Edwin Zuniga,729.789.261-00,74.542.136-9,M,26/02/1981,44,edwin.zuniga@gmail.com,(71) 94863-9756,(41) 90599-8814,Brasil,PR,Maringá,26223536,Feira Laura Farias,2969,Bloco B,Minaslandia,28/12/2019,Pendente,Regular,05/03/2025,3851.67,Eletrônicos,Sim
107,Harold Barnes,532.674.387-60,25.617.072-5,M,28/06/1988,37,harold.barnes@outlook.com,(71) 96616-5946,+1-961-366-0431,Brasil,AP,Santana,62734132,Condomínio Sarah Cavalcante,590,Apto 101,Vila Paris,26/05/2016,Pendente,VIP,01/05/2024,46531.17,Eletrônicos,Não
108,Lorraine Dusek,100.651.874-60,96.955.825-5,F,30/06/1981,44,lorraine.dusek@hotmail.com,(61) 93391-7266,(61) 91488-6491,Brasil,RN,Parnamirim,20024-146,Favela de da Rocha,4007,Bloco B,Jonas Veiga,22/12/2022,Inativo,Premium,04/11/2024,40364.22,Livros,Não
109,Rosie Hall,417.630.977-60,83.940.688-3,F,29/07/1970,55,rosie.hall@bol.com.br,(61) 90476-3704,(91) 91577-6582,Brasil,SE,Lagarto,90331-498,Residencial de Sá,6789,Bloco B,Dom Silverio,12/08/2018,Pendente,Premium,,19764.69,Beleza,Sim
110,Sandra Mccaskill,606.320.373-70,94.951.557-7,F,08/07/1968,57,sandra.mccaskill@hotmail.com,(61) 98801-4551,,Brasil,MG,Contagem,09145-813,Praça de Lopes,8491,Sala 303,Garças,09/05/2007,Inativo,VIP,19/09/2025,25035.32,Eletrônicos,Sim
111,Gabriel Webster,911.412.266-90,91.825.676-7,M,04/07/1971,54,gabriel.webster@gmail.com,(81) 97805-9322,(31) 97930-7280,Brasil,GO,Aparecida de Goiânia,87944615,Vereda de Montenegro,281,Casa 2,Minas Caixa,22/08/2021,Inativo,VIP,12/05/2024,20419.92,Roupas,Não
112,Jon Sanchez,630.830.845-50,97.290.034-0,M,26/01/2006,19,jon.sanchez@outlook.com,(91) 93550-9056,,Brasil,RS,Porto Alegre,51465-400,Viaduto Beatriz Fernandes,4584,,Vila Santo Antônio,06/09/2024,Ativo,Regular,,28856.79,Casa,Sim
113,Richard Curry,185.906.955-00,89.688.004-1,M,28/07/1960,65,richard.curry@outlook.com,(61) 95744-2363,,Brasil,BA,Feira de Santana,25063-152,Pátio de das Neves,3261,,Beija Flor,28/12/2022,Pendente,Novo,30/08/2024,28728.18,Esportes,Não
114,Anne Yang,712.378.267-40,15.530.347-1,F,29/11/1964,60,anne.yang@gmail.com,(21) 95537-7189,244-896-4501,Brasil,DF,Brasília,98204808,Alameda de Costela,9441,,Calafate,16/09/2011,Inativo,VIP,11/06/2025,28904.09,Casa,Não
115,Thomas Harris,394.723.022-20,71.877.810-3,M,28/02/1955,70,thomas.harris@gmail.com,(41) 97466-2604,(91) 99537-9270,Brasil,AP,Macapá,89929481,Lagoa Luna Gonçalves,7429,Sala 303,Mirante,01/07/2019,Pendente,Regular,02/02/2025,39628.42,Casa,Sim
116,Sherrie Alier,668.978.109-70,99.784.601-1,F,11/08/1986,39,sherrie.alier@outlook.com,(61) 99410-8401,(61) 99981-1343,Brasil,BA,Feira de Santana,45375-728,Trecho Pedro Porto,7542,Sala 303,Nazare,28/12/2024,Pendente,Novo,,18398.75,Roupas,Não
117,Margarett Davis,034.021.776-60,52.437.691-4,F,31/03/1954,71,margarett.davis@yahoo.com.br,(31) 92586-6784,537.851.8901x6107,Brasil,DF,Brasília,09951596,Recanto Pacheco,2661,Sala 303,Nova Cintra,17/07/1985,Inativo,VIP,28/03/2024,4083.46,Livros,Não
118,Patience Owens,402.517.412-00,59.968.932-6,F,23/06/1986,39,patience.owens@hotmail.com,(81) 95374-5013,(31) 98186-3822,Brasil,MT,Várzea Grande,44671655,Colônia Nascimento,5976,Sala 303,Nova Cachoeirinha,25/10/2016,Pendente,Regular,,8497.61,Casa,Não
119,David Perez,072.478.509-40,60.635.075-5,M,16/02/1967,58,david.perez@outlook.com,(91) 99801-2634,+1-563-814-5245x9702,Brasil,PB,Campina Grande,01127-703,Chácara de Marques,6951,Bloco B,Boa Viagem,28/02/2020,Pendente,Premium,18/10/2024,40511.57,Casa,Sim
120,Phyllis Bell,926.952.455-80,47.593.734-0,F,02/07/1960,65,phyllis.bell@bol.com.br,001-252-811-7764x8063,862-401-3131,Chile,NY,Jenkinsland,19963,Wagner Summit,4073,Apto 101,fort,16/04/2025,Ativo,VIP,10/12/2024,9105.84,Esportes,Sim
121,Raguel Bickford,736.627.725-80,35.327.268-6,F,21/10/1956,68,raguel.bickford@outlook.com,(11) 90743-3877,(51) 94703-6438,Brasil,RS,Caxias do Sul,96212-901,Esplanada de Gonçalves,8030,Casa 2,Vila São Gabriel,14/04/2024,Inativo,VIP,11/03/2025,25211.18,Beleza,Sim
122,Myrtle Driver,415.517.053-10,51.119.810-0,F,19/05/1983,42,myrtle.driver@outlook.com,(11) 93263-2163,(91) 96277-8587,Brasil,AC,Cruzeiro do Sul,80394053,Conjunto Pires,5667,Bloco B,Vila Nova Gameleira 1ª Seção,29/07/2022,Inativo,Novo,25/08/2025,14629.81,Eletrônicos,Não
123,Hilda Mcpherson,615.282.390-00,40.751.904-1,F,10/04/1966,59,hilda.mcpherson@yahoo.com.br,(51) 91832-5530,(61) 98988-0140,Brasil,MG,Belo Horizonte,83578794,Colônia Carvalho,2160,Bloco B,Aguas Claras,21/05/2017,Pendente,Regular,,37484.14,Livros,Não
124,Miriam Loveday,439.300.051-00,65.638.761-0,F,06/11/2002,22,miriam.loveday@hotmail.com,(91) 95941-7215,2169840790,Brasil,RN,Parnamirim,85123254,Sítio de Lopes,7607,Sala 303,Monte São José,28/02/2024,Pendente,Regular,23/01/2024,29445.6,Livros,Sim
125,Otis Ferrell,707.572.244-10,05.633.646-2,M,01/07/2007,18,otis.ferrell@hotmail.com,(71) 93833-0600,(31) 95357-0427,Brasil,PR,Maringá,67532-548,Viela Sales,4109,Sala 303,Vila Aeroporto Jaraguá,26/06/2025,Ativo,Novo,28/02/2025,48843.04,Eletrônicos,Sim
126,Page Wagner,702.754.934-40,25.796.862-4,F,05/12/1986,38,page.wagner@bol.com.br,(11) 96821-6118,(41) 93324-6012,Brasil,TO,Gurupi,85571-945,Recanto João Miguel Costela,9547,Sala 303,Distrito Industrial Do Jatoba,09/11/2023,Ativo,Novo,01/04/2025,34392.68,Beleza,Não
127,Mary Mclean,356.649.251-50,60.869.261-4,F,30/03/1948,77,mary.mclean@outlook.com,(71) 91381-6000,,Brasil,AP,Laranjal do Jari,13578-397,Favela Otávio Camargo,4801,,Ermelinda,25/06/2023,Inativo,VIP,,10578.69,Casa,Não
128,Christa Williams,975.822.219-80,64.323.040-2,F,22/02/1976,49,christa.williams@bol.com.br,(61) 98582-6772,733.467.4235x833,Brasil,RS,Porto Alegre,80204-033,Lagoa de Sousa,2646,Sala 303,Flavio Marques Lisboa,18/12/2006,Inativo,Premium,02/02/2024,46960.0,Livros,Não
129,Rex Bench,481.721.717-00,26.317.498-6,M,30/12/1962,62,rex.bench@yahoo.com.br,(71) 94019-3117,(51) 95926-4463,Brasil,PB,Campina Grande,11796342,Lago Aparecida,3436,,Vila Paris,13/09/2009,Ativo,Regular,11/02/2025,34001.06,Casa,Não
130,Debbi Harjo,743.701.638-90,11.197.615-5,F,01/03/1958,67,debbi.harjo@bol.com.br,(81) 98675-8112,(41) 93685-8263,Brasil,SP,São Paulo,92816327,Alameda Cecília Vargas,5515,Casa 2,Fazendinha,09/08/2014,Pendente,Regular,29/10/2023,16487.24,Beleza,Sim
131,Felicitas Baucom,287.923.187-60,50.858.925-7,F,05/02/1996,29,felicitas.baucom@hotmail.com,(11) 94380-5148,(51) 93418-7291,Brasil,SP,São Paulo,96275-757,Vereda Maria Alice Correia,8042,Casa 2,Luxemburgo,30/12/2023,Pendente,VIP,03/05/2024,38512.94,Livros,Não
132,Charles Risenhoover,903.601.696-70,57.412.048-4,M,26/12/1985,39,charles.risenhoover@outlook.com,(91) 96433-7692,(71) 96415-0044,Brasil,MA,Imperatriz,11391830,Sítio de Azevedo,4657,Apto 101,Alto Barroca,14/04/2024,Pendente,Regular,10/03/2025,44671.29,Esportes,Não
133,Brenda Young,880.496.653-00,20.532.517-6,F,13/01/2000,25,brenda.young@bol.com.br,(41) 90019-8421,(91) 93676-4458,Brasil,MA,Imperatriz,33510221,Largo de Montenegro,8156,Apto 101,Vila Petropolis,22/05/2019,Ativo,Novo,18/12/2024,31881.9,Livros,Não
134,Rocky Brown,588.530.097-60,55.857.011-3,M,01/10/1995,29,rocky.brown@yahoo.com.br,(91) 96806-4865,(21) 96617-6048,Brasil,AM,Manaus,51932-143,Condomínio Catarina Azevedo,6090,Sala 303,Lagoa,17/07/2022,Ativo,VIP,13/09/2025,29313.39,Eletrônicos,Não
135,Margarete Hughes,313.493.109-50,74.220.310-9,F,05/03/1994,31,margarete.hughes@outlook.com,(21) 96604-4720,(61) 99826-1998,Brasil,SP,São Paulo,73909594,Lagoa Viana,9739,Sala 303,Santa Branca,27/06/2021,Ativo,VIP,19/03/2025,24260.86,Roupas,Não
136,Alice Ferguson,174.985.128-80,77.600.865-7,F,01/06/1996,29,alice.ferguson@bol.com.br,001-603-213-0184x8216,001-864-951-8194x968,Argentina,DE,Lake Cynthiastad,73607,Reyes Common,9654,Apto 101,burgh,31/07/2020,Ativo,VIP,24/09/2024,15476.75,Livros,Não
137,Willie Rivera,388.337.488-10,59.106.144-3,M,26/02/1948,77,willie.rivera@yahoo.com.br,(51) 90487-0994,(51) 94882-6457,Brasil,PR,Maringá,82011730,Praça de da Rosa,4993,Casa 2,Camponesa 2ª Seção,17/10/2010,Inativo,Novo,21/08/2024,23954.05,Eletrônicos,Sim
138,Sarah Larrivee,216.230.182-20,83.747.774-2,F,23/08/1952,73,sarah.larrivee@hotmail.com,(71) 90329-5399,(21) 99297-4310,Brasil,CE,Caucaia,22102007,Praia de Pimenta,9973,Apto 101,Vila Paris,09/05/2021,Inativo,VIP,11/03/2025,6744.07,Roupas,Sim
139,Thelma Hein,377.465.203-10,44.561.493-8,F,05/03/1974,51,thelma.hein@bol.com.br,(61) 90031-3845,(51) 99024-6016,Brasil,PR,Maringá,78657-007,Largo Mariana Ribeiro,3699,Casa 2,Conjunto Lagoa,20/05/2022,Ativo,VIP,29/07/2024,38653.42,Livros,Não
140,Francis Hart,301.145.557-00,43.072.406-7,M,27/03/1998,27,francis.hart@bol.com.br,(21) 95820-8918,(21) 94819-7073,Brasil,RN,Natal,91402488,Colônia Cirino,4262,Sala 303,Vila Ouro Minas,05/03/2025,Inativo,VIP,09/12/2024,3321.37,Eletrônicos,Sim
141,Joan Sheckler,449.880.440-60,79.119.049-5,F,10/09/1972,53,joan.sheckler@yahoo.com.br,(21) 96348-2008,(41) 99831-3457,Brasil,SE,Aracaju,83439-739,Fazenda Ana Sophia Caldeira,246,,Santa Rita,18/01/2025,Inativo,Premium,01/03/2024,43184.0,Livros,Não
142,Clayton Davis,097.312.381-80,98.547.827-3,M,17/02/1971,54,clayton.davis@gmail.com,(71) 95544-0374,(21) 91304-4281,Brasil,RJ,Duque de Caxias,08819802,Viela Rodrigues,7473,Sala 303,Itatiaia,07/01/2016,Ativo,Regular,16/01/2024,21372.3,Eletrônicos,Sim
143,Charles Bookman,240.060.627-70,34.586.386-3,M,26/12/1979,45,charles.bookman@gmail.com,(31) 98741-4989,386-453-8810x427,Brasil,RO,Ariquemes,51343-375,Praça Benjamim Cavalcante,3541,Apto 101,Jardim Vitoria,14/12/2024,Ativo,Regular,11/10/2023,24384.23,Eletrônicos,Sim
144,Antonette Reveal,162.084.995-00,78.845.824-4,F,04/07/2006,19,antonette.reveal@outlook.com,(81) 90045-5371,,Brasil,MA,São Luís,12880-186,Lagoa João Sampaio,4440,Casa 2,Ernesto Nascimento,09/01/2025,Ativo,VIP,18/12/2023,44107.03,Esportes,Não
145,Christine Monzon,047.317.264-00,92.807.737-1,F,05/09/1982,43,christine.monzon@bol.com.br,(71) 99434-6045,(51) 95878-4409,Brasil,SC,Blumenau,60556-283,Lago de Moraes,4096,Casa 2,Madre Gertrudes,14/04/2025,Inativo,Premium,06/11/2024,9328.74,Roupas,Sim
146,Brandon Ramos,028.965.687-70,24.520.621-9,M,04/08/1958,67,brandon.ramos@hotmail.com,(41) 91535-1162,(21) 96671-5596,Brasil,RJ,Rio de Janeiro,54840973,Distrito Gonçalves,8835,,Alta Tensão 1ª Seção,22/06/2022,Pendente,Regular,05/09/2025,22830.64,Eletrônicos,Sim
147,James Blackman,607.214.373-30,60.982.268-1,M,19/08/1965,60,james.blackman@outlook.com,(21) 98947-1065,(81) 98457-3025,Brasil,SP,Guarulhos,03477-730,Vereda Novais,5632,Bloco B,São José,13/06/2015,Inativo,VIP,,5934.37,Roupas,Não
148,Berta Gordon,810.364.615-60,38.223.496-1,F,18/05/1972,53,berta.gordon@hotmail.com,(31) 92259-7711,,Brasil,TO,Gurupi,70438507,Viaduto de Sousa,5191,Casa 2,Vila Esplanada,11/09/2024,Inativo,Regular,14/08/2025,8189.14,Beleza,Sim
149,Margaret Hendon,122.460.359-10,96.461.791-3,F,23/04/1959,66,margaret.hendon@bol.com.br,(11) 92488-7878,+1-770-828-6631x445,Brasil,PI,Picos,49706603,Viaduto Almeida,5618,Apto 101,Marilandia,21/08/2006,Pendente,Regular,08/03/2024,41760.92,Esportes,Não
150,Connie Gracia,749.904.778-40,87.440.380-8,F,18/07/1961,64,connie.gracia@outlook.com,(91) 96986-3148,(31) 95700-2164,Brasil,PR,Londrina,17295519,Parque de Cavalcante,1142,Bloco B,Serra Verde,18/08/2016,Inativo,VIP,14/06/2024,40398.73,Esportes,Não
151,Sherri Chavez,873.523.682-50,44.006.169-9,F,18/04/1972,53,sherri.chavez@bol.com.br,(31) 96006-2377,(51) 95025-4070,Brasil,RR,Caracaraí,77420734,Loteamento Ramos,320,Bloco B,Mala E Cuia,06/02/2010,Ativo,Regular,06/03/2025,30686.9,Eletrônicos,Sim
152,Barbara Avery,717.181.395-90,16.359.995-3,F,17/08/1976,49,barbara.avery@hotmail.com,(71) 90260-4685,,Brasil,AL,Rio Largo,21737-189,Núcleo Calebe da Cunha,5493,Apto 101,Conjunto Califórnia Ii,30/03/2011,Ativo,Regular,17/01/2025,17655.13,Roupas,Sim
153,Madeline Mcbride,723.693.342-20,25.047.573-0,F,06/07/1989,36,madeline.mcbride@hotmail.com,(61) 92118-1977,(91) 92947-2168,Brasil,MA,São Luís,87862-204,Lago de da Luz,8439,Casa 2,Conjunto Taquaril,25/12/2017,Ativo,Regular,12/10/2023,17509.18,Esportes,Não
154,Thelma Rocha,683.537.843-30,40.424.854-2,F,15/08/2000,25,thelma.rocha@outlook.com,(21) 91731-2099,(91) 90483-8069,Brasil,MS,Campo Grande,41728237,Largo Thomas da Mata,1951,Bloco B,Camponesa 2ª Seção,15/02/2024,Inativo,VIP,30/06/2024,21626.61,Esportes,Não
155,Linda Drake,973.867.267-80,14.061.745-3,F,20/02/1968,57,linda.drake@yahoo.com.br,(21) 90659-5064,(91) 95327-6751,Brasil,RN,Natal,20178-661,Lago de Câmara,7294,Apto 101,Olaria,27/01/2006,Ativo,Premium,22/01/2025,30733.18,Livros,Sim
156,Mary Castro,127.453.255-80,77.939.200-4,F,23/12/1966,58,mary.castro@bol.com.br,(71) 98505-7155,,Brasil,BA,Vitória da Conquista,74237893,Lago de Farias,1221,Apto 101,Vila Nova Gameleira 2ª Seção,08/07/2024,Pendente,Novo,22/01/2024,33228.85,Roupas,Não
157,Robert Hansen,221.668.288-80,51.762.547-8,M,28/04/1981,44,robert.hansen@hotmail.com,(71) 95332-8588,(661)717-0576,Brasil,AP,Laranjal do Jari,58785-276,Área de Farias,9334,Bloco B,Novo Aarão Reis,17/02/2024,Inativo,VIP,09/02/2025,38227.68,Roupas,Não
158,Douglas Ford,147.119.053-60,20.802.810-3,M,28/12/2003,21,douglas.ford@gmail.com,(61) 91905-2774,(61) 95980-9230,Brasil,DF,Brasília,74085-691,Área Pastor,3718,Sala 303,Vila Engenho Nogueira,14/08/2024,Ativo,Novo,04/11/2024,7227.65,Beleza,Sim
159,Samantha Friend,767.525.457-00,17.928.985-7,F,26/03/2002,23,samantha.friend@bol.com.br,001-403-306-5942x23627,,Espanha,,Brandistad,82753,Green Wells,4540,Bloco B,haven,26/12/2021,Ativo,VIP,05/10/2023,8623.91,Eletrônicos,Não
160,Logan Mccoy,887.331.379-50,14.262.449-8,M,07/04/2003,22,logan.mccoy@bol.com.br,(51) 97810-5404,(41) 96675-8958,Brasil,CE,Caucaia,05244635,Praça Caldeira,7066,Casa 2,Funcionários,01/04/2025,Inativo,Novo,04/06/2025,49974.81,Eletrônicos,Sim
161,Johnny Dixon,220.568.944-40,68.965.825-8,M,05/10/1976,48,johnny.dixon@gmail.com,(51) 90453-7552,(51) 90299-9504,Brasil,SP,Guarulhos,34803372,Praça Raul Aragão,3911,,Barão Homem De Melo 1ª Seção,23/09/2024,Inativo,Premium,04/11/2024,48334.88,Eletrônicos,Não
162,Anthony Alligood,641.099.480-00,72.344.696-2,M,08/08/1991,34,anthony.alligood@hotmail.com,(91) 96115-8667,(21) 99743-2062,Brasil,MT,Rondonópolis,30998-933,Fazenda Freitas,3588,Bloco B,Vila União,05/02/2021,Pendente,VIP,28/03/2025,33574.19,Casa,Não
163,Norma Yusef,218.528.847-40,45.849.043-6,F,24/05/1966,59,norma.yusef@gmail.com,(41) 90609-7633,(61) 98431-7480,Brasil,AL,Arapiraca,68799379,Praia Leão,8670,Casa 2,Vila Calafate,13/05/2022,Ativo,Novo,30/11/2023,21603.28,Casa,Sim
164,Mary Dowden,376.413.735-50,11.904.601-8,F,19/03/1951,74,mary.dowden@outlook.com,(31) 94168-6312,001-343-649-2359,Brasil,SE,Lagarto,31688-843,Trevo da Cruz,7594,Bloco B,Alto Caiçaras,12/05/2007,Inativo,Premium,,19155.97,Eletrônicos,Não
165,Elizabeth Davis,832.762.097-50,09.296.908-0,F,01/08/1965,60,elizabeth.davis@bol.com.br,(81) 99012-3742,(31) 90300-3043,Brasil,AL,Rio Largo,33263630,Sítio de Casa Grande,4408,Casa 2,Inconfidência,12/04/2011,Pendente,VIP,,33278.8,Eletrônicos,Não
166,Edward Martinez,279.556.739-30,71.644.809-0,M,05/01/1967,58,edward.martinez@gmail.com,(51) 90063-1064,(535)577-5057,Brasil,SP,Campinas,99958-108,Estrada Liam Fonseca,2310,Apto 101,Planalto,26/07/2024,Pendente,Novo,26/06/2024,36349.74,Beleza,Sim
167,Catherine Sain,205.861.245-00,31.099.249-3,F,18/03/1956,69,catherine.sain@yahoo.com.br,(31) 93043-6725,(71) 91521-5562,Brasil,RR,Boa Vista,96054401,Distrito Théo Silveira,1099,Apto 101,Capitão Eduardo,10/08/2012,Ativo,Premium,,22237.74,Casa,Sim
168,James Charlton,532.368.587-50,23.970.457-0,M,15/03/1977,48,james.charlton@gmail.com,(81) 98405-3588,,Brasil,MT,Várzea Grande,67038-841,Setor de Barros,4095,Casa 2,Parque São Pedro,03/02/2017,Pendente,Premium,24/06/2025,6765.81,Eletrônicos,Sim
169,Michael Jimenez,123.063.976-40,54.615.254-0,M,10/11/1997,27,michael.jimenez@gmail.com,(41) 97156-8056,(61) 98885-7406,Brasil,TO,Gurupi,62127-358,Ladeira Alana Marques,5165,Casa 2,Penha,13/12/2021,Pendente,VIP,,13399.5,Livros,Não
170,Grace Wachtel,552.119.260-30,13.054.882-8,F,16/03/1946,79,grace.wachtel@yahoo.com.br,(51) 91269-2719,(71) 98600-0167,Brasil,RO,Ariquemes,18410-324,Alameda Jesus,9190,Bloco B,Marieta 2ª Seção,25/05/2022,Inativo,Premium,23/12/2023,42481.55,Esportes,Sim
171,Devin Peebles,276.310.407-00,37.444.990-1,M,21/05/1968,57,devin.peebles@bol.com.br,(61) 99293-4718,(51) 93661-2889,Brasil,PB,Santa Rita,17376192,Passarela Anna Liz Caldeira,6248,Casa 2,Túnel De Ibirité,26/04/2011,Pendente,VIP,,5025.38,Roupas,Sim
172,Robert Rogers,775.442.027-90,18.307.773-3,M,19/10/1971,53,robert.rogers@outlook.com,(31) 98076-3191,,Brasil,RS,Caxias do Sul,90578-212,Parque Siqueira,4287,Sala 303,Lajedo,03/10/2018,Inativo,VIP,18/12/2023,32870.67,Esportes,Não
173,Roland Rivera,160.869.899-80,44.388.887-9,M,12/03/1956,69,roland.rivera@gmail.com,(61) 95455-0879,(11) 94191-3342,Brasil,AL,Rio Largo,35623-153,Viela de Pereira,742,Casa 2,Vila Fumec,28/07/1999,Inativo,Regular,06/01/2025,42119.91,Casa,Não
174,David Rainge,815.993.367-30,50.700.712-3,M,18/11/1968,56,david.rainge@bol.com.br,(71) 97566-9515,(11) 92504-5023,Brasil,PE,Recife,65416095,Núcleo de Gomes,5843,Casa 2,Nova Esperança,02/10/2024,Inativo,VIP,27/11/2024,12119.52,Casa,Sim
175,Barry Crews,546.204.457-70,45.716.366-6,M,07/04/1972,53,barry.crews@yahoo.com.br,(51) 90111-5860,(81) 90983-7256,Brasil,RS,Porto Alegre,43006596,Pátio Pacheco,8258,,Alto Dos Pinheiros,07/10/2022,Ativo,Novo,24/07/2025,49059.39,Beleza,Não
176,Aaron Thompson,535.585.611-00,69.836.553-2,M,25/01/2006,19,aaron.thompson@outlook.com,(41) 98355-7344,,Brasil,PE,Recife,85826039,Morro Anthony Câmara,5249,Apto 101,São Jorge 3ª Seção,23/04/2024,Inativo,Novo,12/04/2025,35810.74,Roupas,Não
177,Edmond Mcmahon,176.847.035-90,71.967.849-6,M,21/07/1966,59,edmond.mcmahon@bol.com.br,(41) 99895-4490,(803)595-5407,Brasil,AL,Rio Largo,42435882,Avenida de Barros,2594,Bloco B,Conjunto Jardim Filadélfia,06/07/2025,Ativo,Premium,22/08/2025,32788.18,Esportes,Sim
178,Pamela Sherman,339.874.275-00,52.303.658-5,F,16/09/1981,44,pamela.sherman@gmail.com,(61) 99980-8561,,Brasil,PB,Santa Rita,80157-910,Setor Fogaça,7320,Sala 303,Marieta 1ª Seção,19/08/2013,Inativo,Premium,02/07/2024,30797.14,Beleza,Não
179,Dollie Antoine,949.678.973-00,17.320.256-7,F,07/04/2004,21,dollie.antoine@outlook.com,566.796.0566x6391,3202550761,Reino Unido,,Jasonville,84556,Wesley Heights,4657,Bloco B,port,21/09/2024,Ativo,Novo,22/01/2024,41611.61,Livros,Sim
180,Jack Rzeszutko,647.089.065-20,58.032.644-7,M,17/03/1978,47,jack.rzeszutko@bol.com.br,(51) 94147-7360,(11) 95828-5739,Brasil,SE,Lagarto,30183195,Trecho Maria Clara Gonçalves,6906,Sala 303,Vila Havaí,25/03/2022,Pendente,Regular,31/03/2025,34730.6,Esportes,Não
